iter	Passed	Remaining
0	54	54518
1	108	53968
2	160	53442
3	227	56696
4	293	58318
5	367	60902
6	426	60496
7	481	59681
8	539	59447
9	589	58350
10	644	57977
11	712	58648
12	773	58755
13	838	59050
14	908	59640
15	968	59569
16	1021	59049
17	1077	58803
18	1127	58197
19	1186	58136
20	1234	57559
21	1280	56932
22	1346	57206
23	1395	56763
24	1444	56321
25	1491	55876
26	1537	55409
27	1592	55265
28	1642	54993
29	1691	54682
30	1741	54430
31	1788	54098
32	1841	53951
33	1889	53682
34	1948	53717
35	2005	53706
36	2066	53773
37	2123	53765
38	2175	53609
39	2231	53566
40	2286	53489
41	2355	53724
42	2401	53438
43	2447	53175
44	2488	52811
45	2536	52597
46	2584	52403
47	2644	52448
48	2692	52247
49	2745	52173
50	2815	52396
51	2883	52568
52	2943	52602
53	3000	52564
54	3050	52418
55	3103	52308
56	3153	52176
57	3209	52128
58	3276	52264
59	3344	52404
60	3395	52272
61	3444	52118
62	3495	51983
63	3542	51811
64	3585	51581
65	3632	51399
66	3682	51284
67	3732	51152
68	3780	51014
69	3831	50897
70	3878	50742
71	3925	50590
72	3975	50482
73	4027	50397
74	4069	50186
75	4115	50030
76	4159	49863
77	4204	49696
78	4255	49609
79	4312	49588
80	4366	49543
81	4421	49499
82	4505	49780
83	4573	49877
84	4621	49744
85	4663	49558
86	4708	49412
87	4755	49280
88	4801	49151
89	4853	49072
90	4912	49066
91	4981	49166
92	5043	49191
93	5100	49162
94	5170	49255
95	5229	49243
96	5284	49190
97	5341	49159
98	5392	49076
99	5449	49045
100	5500	48956
101	5556	48918
102	5613	48886
103	5722	49304
104	5791	49367
105	5919	49922
106	6018	50230
107	6114	50498
108	6202	50701
109	6292	50912
110	6371	51027
111	6438	51049
112	6515	51142
113	6588	51203
114	6655	51216
115	6721	51225
116	6788	51233
117	6855	51239
118	6925	51268
119	6985	51229
120	7061	51297
121	7136	51362
122	7198	51322
123	7263	51309
124	7332	51326
125	7394	51290
126	7463	51301
127	7526	51270
128	7596	51290
129	7660	51264
130	7727	51264
131	7855	51656
132	7915	51599
133	7989	51632
134	8073	51731
135	8139	51709
136	8213	51737
137	8291	51790
138	8356	51762
139	8413	51681
140	8485	51697
141	8545	51636
142	8609	51597
143	8667	51523
144	8725	51448
145	8784	51383
146	8844	51322
147	8912	51306
148	8985	51321
149	9047	51267
150	9111	51231
151	9175	51190
152	9238	51142
153	9305	51118
154	9370	51082
155	9433	51039
156	9500	51009
157	9560	50949
158	9635	50966
159	9716	51012
160	9791	51024
161	9851	50962
162	9911	50896
163	9972	50833
164	10035	50786
165	10098	50735
166	10153	50647
167	10219	50609
168	10285	50574
169	10347	50519
170	10419	50512
171	10501	50551
172	10576	50557
173	10645	50533
174	10720	50539
175	10797	50553
176	10863	50511
177	10932	50484
178	10996	50434
179	11058	50379
180	11126	50344
181	11193	50307
182	11261	50278
183	11323	50218
184	11392	50188
185	11453	50124
186	11514	50059
187	11575	49996
188	11639	49943
189	11702	49890
190	11760	49814
191	11821	49750
192	11877	49665
193	11940	49607
194	11993	49511
195	12056	49455
196	12112	49370
197	12176	49320
198	12240	49269
199	12304	49217
200	12359	49131
201	12421	49070
